   7.2064370924101686       0.21458411715229730       (1.43806181391406275E-004,-2.66362041332223907E-005)   1.4380618139140627E-004  -2.6636204133222391E-005   1.4625219716983651E-004
   7.4175353242668427       0.20757864050844491      (-9.24666445509512595E-005,-1.07789416105575798E-004)  -9.2466644550951260E-005  -1.0778941610557580E-004   1.4201633208505609E-004
   7.6215280895024931       0.20037431844095541       (-5.42513837087464708E-005,1.26092212426541430E-004)  -5.4251383708746471E-005   1.2609221242654143E-004   1.3726783552214149E-004
   7.8182199777074288       0.19297805217917621        (1.33377749524106904E-004,4.02975176618125964E-006)   1.3337774952410690E-004   4.0297517661812596E-006   1.3343861123157885E-004
   8.0074225721948658       0.18539692682294071      (-3.58414551432149103E-005,-1.25214539364681726E-004)  -3.5841455143214910E-005  -1.2521453936468173E-004   1.3024319857517520E-004
   8.1889546304925815       0.17763820455611809       (-1.10624304357007821E-004,6.13506300320840805E-005)  -1.1062430435700782E-004   6.1350630032084080E-005   1.2649757515385645E-004
   8.3626422579628841       0.16970931769092371        (7.58160813560305216E-005,9.82860529968339591E-005)   7.5816081356030522E-005   9.8286052996833959E-005   1.2412987716855557E-004
   8.5283190743851041       0.16161786154955679       (9.01272890802739868E-005,-8.06304299506847339E-005)   9.0127289080273987E-005  -8.0630429950684734E-005   1.2093053572605867E-004
   8.6858263733413033       0.15337158719045499      (-7.82853513094408209E-005,-8.96142369933721107E-005)  -7.8285351309440821E-005  -8.9614236993372111E-005   1.1899288928985140E-004
   8.8350132742536083       0.14497839398638229       (-9.41468838430741846E-005,6.82283247502331726E-005)  -9.4146883843074185E-005   6.8228324750233173E-005   1.1627011669205714E-004
   8.9757368669287860       0.13644632206223031        (4.99131473888016314E-005,1.03345199481280338E-004)   4.9913147388801631E-005   1.0334519948128034E-004   1.1476738446998721E-004
   9.1078623484739403       0.12778354460089650       (1.10486144102823192E-004,-2.08848290690863955E-005)   1.1048614410282319E-004  -2.0884829069086395E-005   1.1244271485496411E-004
   9.2312631524561404       0.11899836002711760       (1.75196903960788406E-005,-1.09708374396543987E-004)   1.7519690396078841E-005  -1.0970837439654399E-004   1.1109845617427240E-004
   9.3458210701894568       0.11009918408060571      (-9.05466831409743142E-005,-6.17726218268541724E-005)  -9.0546683140974314E-005  -6.1772621826854172E-005   1.0961094213259706E-004
   9.4514263640464851       0.10109454179511100       (-9.71816681343290348E-005,4.68803462855962722E-005)  -9.7181668134329035E-005   4.6880346285596272E-005   1.0789830160492928E-004
   9.5479778727119129        9.1993059409213582E-002  (-1.74013849156067276E-005,1.05621880766146008E-004)  -1.7401384915606728E-005   1.0562188076614601E-004   1.0704573739088853E-004
   9.6353831083313484        8.2803456257237174E-002   (6.82320437243618251E-005,8.12019625590926100E-005)   6.8232043724361825E-005   8.1201962559092610E-005   1.0606304971219479E-004
   9.7135583455817152        7.3534536747914797E-002   (1.04275342230172939E-004,1.02921637903020346E-005)   1.0427534223017294E-004   1.0292163790302035E-005   1.0478203869321350E-004
   9.7824287028644346        6.4195182701776363E-002  (8.65341372564292128E-005,-5.74892668651835680E-005)   8.6534137256429213E-005  -5.7489266865183568E-005   1.0389019547296474E-004
   9.8419282163022075        5.4794346837823658E-002  (3.96993956173468865E-005,-9.55040886877006829E-005)   3.9699395617346887E-005  -9.5504088687700683E-005   1.0342665501915267E-004
   9.8919999087503356        4.5341050100938432E-002 (-1.03504957926329151E-005,-1.02519766899009261E-004)  -1.0350495792632915E-005  -1.0251976689900926E-004   1.0304094025279713E-004
